# ZAP DAST rules -- this file is the source of truth for current rule actions.
# Format: rule_id<TAB>action<TAB>description (description is informational only).
# Valid actions: PASS, IGNORE, INFO, WARN, FAIL.
#
# --- Critical: these MUST block the scan when fail_action is enabled ---
40018	FAIL	SQL Injection
90020	FAIL	Remote OS Command Injection
40046	FAIL	Server Side Request Forgery
90023	FAIL	XML External Entity (XXE)
40012	FAIL	Cross Site Scripting (Reflected)
40014	FAIL	Cross Site Scripting (Persistent)
6	FAIL	Path Traversal
90024	FAIL	Generic Remote Code Execution
#
# --- Triaged false positives / informational noise ---
100001	IGNORE	Unexpected Content-Type was returned
100000	IGNORE	A Client Error response code was returned by the server
10094	IGNORE	Base64 Disclosure
90005	IGNORE	Sec-Fetch-* Header is Missing
10049	IGNORE	Storable and Cacheable Content
10104	IGNORE	User Agent Fuzzer
